naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
326122,Plastics Pipe and Pipe Fitting Manufacturing,direct,326122,484,25329,1537623000,60706.03
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",direct,326130,224,11949,798450000,66821.49
326140,Polystyrene Foam Product Manufacturing,direct,326140,413,27221,1559815000,57301.9
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,direct,326150,662,32267,1808923000,56061.08
326160,Plastics Bottle Manufacturing,direct,326160,472,37743,2219016000,58792.78
326191,Plastics Plumbing Fixture Manufacturing,direct,326191,303,20306,978098000,48167.93
326199,All Other Plastics Product Manufacturing,direct,326199,5566,393135,21432138000,54515.98
326211,Tire Manufacturing (except Retreading),direct,326211,131,51236,3633115000,70909.42
326212,Tire Retreading,direct,326212,350,6284,332785000,52957.51
326220,Rubber and Plastics Hoses and Belting Manufacturing,direct,326220,267,19658,1155477000,58778.97
326291,Rubber Product Manufacturing for Mechanical Use,direct,326291,385,28319,1502230000,53046.72
326299,All Other Rubber Product Manufacturing,direct,326299,681,35113,2132620000,60735.91
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",direct,327110,567,12552,664659000,52952.44
327120,Clay Building Material and Refractories Manufacturing,direct,327120,464,23258,1376030000,59163.73
327211,Flat Glass Manufacturing,direct,327211,128,12291,783443000,63741.19
327212,Other Pressed and Blown Glass and Glassware Manufacturing,direct,327212,387,11415,734536000,64348.31
327213,Glass Container Manufacturing,direct,327213,78,15042,1054830000,70125.65
327215,Glass Product Manufacturing Made of Purchased Glass,direct,327215,976,49897,3089996000,61927.49
327310,Cement Manufacturing,direct,327310,186,13978,967317000,69202.82
327320,Ready‑Mix Concrete Manufacturing,direct,327320,5969,89259,6403887000,71745.0
327331,Concrete Block and Brick Manufacturing,direct,327331,632,16935,1076235000,63550.93
327332,Concrete Pipe Manufacturing,direct,327332,144,5116,349509000,68316.85
327390,Other Concrete Product Manufacturing,direct,327390,1831,60264,3619763000,60065.1
327410,Lime Manufacturing,direct,327410,98,3986,316304000,79353.74
327420,Gypsum Product Manufacturing,direct,327420,184,11865,1008465000,84994.94
327910,Abrasive Product Manufacturing,direct,327910,261,10912,758302000,69492.49
327991,Cut Stone and Stone Product Manufacturing,direct,327991,2134,36565,2047006000,55982.66
327992,Ground or Treated Mineral and Earth Manufacturing,direct,327992,265,8942,718505000,80351.71
327993,Mineral Wool Manufacturing,direct,327993,239,13662,999921000,73189.94
